timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1709650575051,189,GetOne,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-1,text,true,,412,597,2,2,https://testslotegrator.com/api/automationTask/getOne,189,0,144
1709650575149,379,GetAll,200,OK,bzm - Arrivals Thread Group-ThreadStarter 1-6,text,true,,126215,536,4,4,https://testslotegrator.com/api/automationTask/getAll,279,0,144
1709650575251,396,GetAll,200,OK,bzm - Arrivals Thread Group-ThreadStarter 1-1,text,true,,126215,536,4,4,https://testslotegrator.com/api/automationTask/getAll,292,0,150
1709650575452,203,GetOne,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-5,text,true,,412,597,4,4,https://testslotegrator.com/api/automationTask/getOne,203,0,157
1709650575351,382,GetAll,200,OK,bzm - Arrivals Thread Group-ThreadStarter 1-10,text,true,,126215,536,3,3,https://testslotegrator.com/api/automationTask/getAll,293,0,140
1709650575548,239,GetOne,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-6,text,true,,412,597,3,3,https://testslotegrator.com/api/automationTask/getOne,239,0,197
1709650575649,214,GetOne,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-1,text,true,,412,597,3,3,https://testslotegrator.com/api/automationTask/getOne,214,0,167
1709650575749,193,GetOne,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-10,text,true,,412,597,2,2,https://testslotegrator.com/api/automationTask/getOne,192,0,148
1709650575853,204,Create,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-6,text,true,,479,768,3,3,https://testslotegrator.com/api/automationTask/create,204,0,142
1709650575949,188,GetOne,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-1,text,true,,412,597,2,2,https://testslotegrator.com/api/automationTask/getOne,188,0,145
1709650576049,198,GetOne,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-10,text,true,,412,597,2,2,https://testslotegrator.com/api/automationTask/getOne,198,0,155
1709650576149,213,GetOne,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-6,text,true,,412,597,3,3,https://testslotegrator.com/api/automationTask/getOne,213,0,144
